timestamp,cpu,memory
1752008757,77.20%,0.46%
1752008759,76.22%,0.46%
1752008761,73.63%,0.46%
1752008763,77.49%,0.46%
1752008765,78.34%,0.46%
1752008767,75.41%,0.46%
1752008769,77.16%,0.46%
1752008771,77.99%,0.46%
1752008773,78.73%,0.46%
1752008775,78.45%,0.46%
1752008777,78.15%,0.46%
1752008779,77.04%,0.46%
1752008781,77.57%,0.46%
1752008783,74.21%,0.46%
1752008785,75.35%,0.46%
1752008787,73.09%,0.46%
1752008789,73.89%,0.46%
1752008791,9.00%,0.46%
