timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748277295323,65,HTTP Request,201,Created,Thread Group 1-529,text,true,,493,247,1,1,http://localhost:8000/api/messages,64,0,1
1748277295417,70,HTTP Request,201,Created,Thread Group 1-530,text,true,,484,238,1,1,http://localhost:8000/api/messages,70,0,1
1748277295505,62,HTTP Request,201,Created,Thread Group 1-531,text,true,,480,234,1,1,http://localhost:8000/api/messages,62,0,1
1748277295600,57,HTTP Request,201,Created,Thread Group 1-532,text,true,,512,266,1,1,http://localhost:8000/api/messages,57,0,1
1748277295690,72,HTTP Request,201,Created,Thread Group 1-533,text,true,,478,232,1,1,http://localhost:8000/api/messages,72,0,1
1748277295787,81,HTTP Request,201,Created,Thread Group 1-534,text,true,,479,233,1,1,http://localhost:8000/api/messages,80,0,1
1748277295883,60,HTTP Request,201,Created,Thread Group 1-535,text,true,,480,234,1,1,http://localhost:8000/api/messages,60,0,1
1748277295973,61,HTTP Request,201,Created,Thread Group 1-536,text,true,,497,251,1,1,http://localhost:8000/api/messages,61,0,1
1748277296069,81,HTTP Request,201,Created,Thread Group 1-537,text,true,,484,238,1,1,http://localhost:8000/api/messages,80,0,1
1748277296161,69,HTTP Request,201,Created,Thread Group 1-538,text,true,,480,234,1,1,http://localhost:8000/api/messages,69,0,1
1748277296252,80,HTTP Request,201,Created,Thread Group 1-539,text,true,,490,244,1,1,http://localhost:8000/api/messages,79,0,1
1748277296343,68,HTTP Request,201,Created,Thread Group 1-540,text,true,,481,235,1,1,http://localhost:8000/api/messages,67,0,0
1748277296438,61,HTTP Request,201,Created,Thread Group 1-541,text,true,,480,234,1,1,http://localhost:8000/api/messages,60,0,0
1748277296530,59,HTTP Request,201,Created,Thread Group 1-542,text,true,,480,234,1,1,http://localhost:8000/api/messages,59,0,1
1748277296619,59,HTTP Request,201,Created,Thread Group 1-543,text,true,,479,233,1,1,http://localhost:8000/api/messages,59,0,1
1748277296716,70,HTTP Request,201,Created,Thread Group 1-544,text,true,,480,234,1,1,http://localhost:8000/api/messages,70,0,0
1748277296809,73,HTTP Request,201,Created,Thread Group 1-545,text,true,,485,239,1,1,http://localhost:8000/api/messages,73,0,1
1748277296904,66,HTTP Request,201,Created,Thread Group 1-546,text,true,,480,234,1,1,http://localhost:8000/api/messages,65,0,1
1748277296994,63,HTTP Request,201,Created,Thread Group 1-547,text,true,,489,243,1,1,http://localhost:8000/api/messages,62,0,1
1748277297090,68,HTTP Request,201,Created,Thread Group 1-548,text,true,,486,240,1,1,http://localhost:8000/api/messages,68,0,1
1748277297180,60,HTTP Request,201,Created,Thread Group 1-549,text,true,,483,237,1,1,http://localhost:8000/api/messages,60,0,1
1748277297276,60,HTTP Request,201,Created,Thread Group 1-550,text,true,,482,236,1,1,http://localhost:8000/api/messages,60,0,1
1748277297370,68,HTTP Request,201,Created,Thread Group 1-551,text,true,,486,240,1,1,http://localhost:8000/api/messages,67,0,0
1748277297461,69,HTTP Request,201,Created,Thread Group 1-552,text,true,,484,238,1,1,http://localhost:8000/api/messages,69,0,1
1748277297553,63,HTTP Request,201,Created,Thread Group 1-553,text,true,,480,234,1,1,http://localhost:8000/api/messages,63,0,1
1748277297646,60,HTTP Request,201,Created,Thread Group 1-554,text,true,,480,234,1,1,http://localhost:8000/api/messages,60,0,1
1748277297741,61,HTTP Request,201,Created,Thread Group 1-555,text,true,,477,231,1,1,http://localhost:8000/api/messages,60,0,1
1748277297833,66,HTTP Request,201,Created,Thread Group 1-556,text,true,,510,264,1,1,http://localhost:8000/api/messages,66,0,1
1748277297925,58,HTTP Request,201,Created,Thread Group 1-557,text,true,,485,239,1,1,http://localhost:8000/api/messages,58,0,0
1748277298018,79,HTTP Request,201,Created,Thread Group 1-558,text,true,,477,231,1,1,http://localhost:8000/api/messages,78,0,1
1748277298111,63,HTTP Request,201,Created,Thread Group 1-559,text,true,,487,241,1,1,http://localhost:8000/api/messages,63,0,1
1748277298200,61,HTTP Request,201,Created,Thread Group 1-560,text,true,,496,250,1,1,http://localhost:8000/api/messages,61,0,1
1748277298298,65,HTTP Request,201,Created,Thread Group 1-561,text,true,,485,239,1,1,http://localhost:8000/api/messages,65,0,1
